size	K	T	instance	Obj value	CPLEX time (s)	Optimal path
6	4	30	0	97.0	0.4813832	1 2 8 9 15 21 22 28 29 35 36 
6	4	30	1	101.0	0.3905197	1 7 13 19 20 21 22 28 34 35 36 
6	4	30	2	97.0	0.445471	1 2 3 9 15 16 22 28 29 35 36 
6	4	30	3	103.0	0.6469143	1 7 13 19 25 26 27 28 29 30 36 
6	4	30	4	100.0	0.6615863	1 7 13 14 15 16 22 28 29 30 36 
6	4	30	5	96.0	0.2287065	1 7 8 9 10 11 17 18 24 30 36 
6	4	30	6	103.0	0.2028756	1 2 8 9 10 11 12 18 24 30 36 
6	4	30	7	97.0	0.2604464	1 7 8 14 15 16 22 23 29 30 36 
6	4	30	8	90.0	0.2931671	1 2 8 9 15 16 22 28 29 30 36 
6	4	30	9	98.0	0.3588944	1 2 3 9 15 21 27 28 29 35 36 
6	4	60	0	195.0	1.6973791	1 2 3 9 10 16 17 18 24 30 36 
6	4	60	1	186.0	0.9794153	1 7 8 9 10 16 17 23 24 30 36 
6	4	60	2	197.0	0.823057	1 2 3 4 10 11 17 23 24 30 36 
6	4	60	3	183.0	0.5031069	1 2 8 9 10 11 17 23 29 35 36 
6	4	60	4	191.0	1.8803893	1 7 13 14 15 16 22 28 29 30 36 
6	4	60	5	200.0	1.0373296	1 2 3 4 5 11 17 18 24 30 36 
6	4	60	6	184.0	1.3862775	1 7 8 14 15 21 22 28 29 35 36 
6	4	60	7	187.0	0.8661162	1 2 8 14 15 21 22 23 29 30 36 
6	4	60	8	192.0	0.9804599	1 7 13 14 15 21 27 33 34 35 36 
6	4	60	9	174.0	1.3234759	1 7 13 14 20 21 27 33 34 35 36 
6	4	90	0	235.0	0.4549882	1 7 8 14 20 21 22 28 34 35 36 
6	4	90	1	289.0	2.4533113	1 2 8 14 15 16 17 18 24 30 36 
6	4	90	2	285.0	1.7195482	1 7 13 14 15 16 22 23 24 30 36 
6	4	90	3	298.0	2.8523244	1 7 8 14 20 21 22 28 34 35 36 
6	4	90	4	297.0	2.1080427	1 2 3 4 5 11 12 18 24 30 36 
6	4	90	5	295.0	3.3296265	1 2 8 14 15 21 22 28 29 35 36 
6	4	90	6	276.9999999999999	1.9520779	1 2 8 9 10 11 17 23 29 35 36 
6	4	90	7	261.0	2.3005319	1 7 8 14 15 21 22 28 34 35 36 
6	4	90	8	287.0	2.9553207	1 2 3 4 5 6 12 18 24 30 36 
6	4	90	9	243.0	0.490553	1 2 8 14 15 16 22 28 29 30 36 
